date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:55:02	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Oct%202023%2014:11:34%20GMT	https://www.assetspur.to/robots.txt		(from )
14:55:03	279560/279560	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Oct%202023%2014:11:34%20GMT	https://www.assetspur.to/	C:/My%20Web%20Sites/assetspur/www.assetspur.to/index.html	(from )
14:55:04	83369/83369	---M-Z	200	added ('OK')	text/css	etag:%22145a9-5db6c17bf7b10-gzip%22	https://assetspur.to/lib/css/dist/block-library/style.min.css	C:/My%20Web%20Sites/assetspur/assetspur.to/lib/css/dist/block-library/style.min.css	(from https://www.assetspur.to/)
14:55:05	2731/2731	---M-Z	200	added ('OK')	text/css	etag:%22aab-5db8a53a68fd9-gzip%22	https://assetspur.to/modules/8516d2654f/includes/css/styles.css	C:/My%20Web%20Sites/assetspur/assetspur.to/modules/8516d2654f/includes/css/styles.css	(from https://www.assetspur.to/)
14:55:05	61344/61344	---M-Z	200	added ('OK')	text/css	etag:%22efa0-5c4f361119595-gzip%22	https://assetspur.to/modules/4b36101dcc/public/assets/css/rs6.css	C:/My%20Web%20Sites/assetspur/assetspur.to/modules/4b36101dcc/public/assets/css/rs6.css	(from https://www.assetspur.to/)
14:55:06	31004/31004	---M-Z	200	added ('OK')	text/css	etag:%22791c-5caaf01be15c7-gzip%22	https://assetspur.to/views/5261539cab/assets/vendors/font-awesome/css/font-awesome.min.css	C:/My%20Web%20Sites/assetspur/assetspur.to/views/5261539cab/assets/vendors/font-awesome/css/font-awesome.min.css	(from https://www.assetspur.to/)
14:55:06	56791/56791	---M-Z	200	added ('OK')	text/css	etag:%22ddd7-5caaf01bde6e7-gzip%22	https://assetspur.to/views/5261539cab/assets/vendors/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/assetspur/assetspur.to/views/5261539cab/assets/vendors/bootstrap/css/bootstrap.min.css	(from https://www.assetspur.to/)
14:55:07	3876/3876	---M-Z	200	added ('OK')	text/css	etag:%22f24-5caaf01bd7987-gzip%22	https://assetspur.to/views/5261539cab/design.css	C:/My%20Web%20Sites/assetspur/assetspur.to/views/5261539cab/design.css	(from https://www.assetspur.to/)
14:55:08	560956/560956	---MCZ	200	added ('OK')	text/css	etag:%2288f3c-5caaf01be5447-gzip%22	https://assetspur.to/views/5261539cab/assets/css/theme.min.css	C:/My%20Web%20Sites/assetspur/assetspur.to/views/5261539cab/assets/css/theme.min.css	(from https://www.assetspur.to/)
14:55:09	38913/38913	---M-Z	200	added ('OK')	text/css	etag:%229801-5caaf01be5447-gzip%22	https://assetspur.to/views/5261539cab/assets/css/theme-responsive-min.min.css	C:/My%20Web%20Sites/assetspur/assetspur.to/views/5261539cab/assets/css/theme-responsive-min.min.css	(from https://www.assetspur.to/)
14:55:09	2394/2394	---M-Z	200	added ('OK')	text/css	etag:%2295a-5caaf01be5447-gzip%22	https://assetspur.to/views/5261539cab/assets/css/theme-responsive-max.min.css	C:/My%20Web%20Sites/assetspur/assetspur.to/views/5261539cab/assets/css/theme-responsive-max.min.css	(from https://www.assetspur.to/)
14:55:11	937/937	---M-Z	200	added ('OK')	text/css	etag:%223a9-5c4f360c5f635-gzip%22	https://assetspur.to/modules/7d86a1a8e2/assets/css/liquid-gdpr.min.css	C:/My%20Web%20Sites/assetspur/assetspur.to/modules/7d86a1a8e2/assets/css/liquid-gdpr.min.css	(from https://www.assetspur.to/)
14:55:11	411412/411412	---M-Z	200	added ('OK')	text/css	etag:%2264714-5c4f3609291f5-gzip%22	https://assetspur.to/modules/910a07777b/assets/css/js_composer.min.css	C:/My%20Web%20Sites/assetspur/assetspur.to/modules/910a07777b/assets/css/js_composer.min.css	(from https://www.assetspur.to/)
14:55:12	738/738	---M-Z	200	added ('OK')	text/css	etag:%222e2-5c4f35f7cfb75-gzip%22	https://assetspur.to/modules/d74c3de78d/assets/css/landinghub-core.min.css	C:/My%20Web%20Sites/assetspur/assetspur.to/modules/d74c3de78d/assets/css/landinghub-core.min.css	(from https://www.assetspur.to/)
14:55:13	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Oct%202023%2014:11:45%20GMT	http://assetspur.to/storage/liquid-styles/liquid-responsive-100.css?timestamp=1630227777	C:/My%20Web%20Sites/assetspur/assetspur.to/storage/liquid-styles/liquid-responsive-100.cd545.delayed	(from https://www.assetspur.to/)
14:55:13	210/210	---M-Z	200	added ('OK')	text/css	etag:%22d2-5caaefb8fdee8-gzip%22	https://assetspur.to/storage/liquid-styles/liquid-responsive-100.css?timestamp=1630227777	C:/My%20Web%20Sites/assetspur/assetspur.to/storage/liquid-styles/liquid-responsive-100d545.css	(from https://www.assetspur.to/)
14:55:14	89521/89521	---M-Z	200	added ('OK')	application/javascript	etag:%2215db1-5caaef390d009-gzip%22	https://assetspur.to/lib/js/jquery/jquery.min.js	C:/My%20Web%20Sites/assetspur/assetspur.to/lib/js/jquery/jquery.min.js	(from https://www.assetspur.to/)
